sensor_id,med_no_rain,med_rain,rain_delta_pct
1,220.5,492.0,123.12925170068027
2,170.0,246.0,44.70588235294118
3,563.0,369.0,-34.4582593250444
4,814.0,902.5,10.872235872235873
5,700.0,733.0,4.714285714285714
6,762.0,739.0,-3.0183727034120733
8,260.5,180.0,-30.902111324376197
9,150.0,134.0,-10.666666666666668
10,86.0,59.0,-31.3953488372093
11,148.0,93.0,-37.16216216216216
12,257.5,159.0,-38.25242718446602
14,301.0,215.0,-28.57142857142857
17,230.0,193.0,-16.08695652173913
18,89.5,81.0,-9.497206703910614
19,552.0,301.0,-45.471014492753625
20,281.0,188.0,-33.096085409252666
21,550.0,352.5,-35.90909090909091
23,258.0,286.0,10.852713178294573
24,882.0,1039.0,17.800453514739228
25,615.5,493.0,-19.90251827782291
27,152.0,170.5,12.171052631578947
28,839.0,818.0,-2.5029797377830754
29,353.0,272.0,-22.946175637393768
30,428.0,301.0,-29.672897196261683
31,288.0,210.0,-27.083333333333332
35,1653.0,1109.0,-32.90986085904416
36,223.0,218.0,-2.242152466367713
37,87.0,84.0,-3.4482758620689653
39,64.0,51.0,-20.3125
40,189.0,245.0,29.629629629629626
41,2505.5,2239.5,-10.616643384553981
42,127.5,76.5,-40.0
43,120.0,94.0,-21.666666666666668
44,78.0,66.0,-15.384615384615385
45,650.5,560.0,-13.912375096079938
46,87.0,98.0,12.643678160919542
47,877.0,790.0,-9.92018244013683
48,312.0,328.0,5.128205128205128
49,333.0,358.0,7.5075075075075075
50,225.0,231.0,2.666666666666667
51,175.5,159.0,-9.401709401709402
52,445.5,349.5,-21.548821548821547
53,409.0,446.0,9.04645476772616
54,197.0,189.0,-4.060913705583756
56,439.5,407.0,-7.394766780432309
58,646.0,578.0,-10.526315789473683
59,279.5,217.0,-22.361359570661897
61,1091.0,886.0,-18.790100824931255
62,371.5,290.0,-21.93808882907133
63,342.0,288.0,-15.789473684210526
66,1183.5,880.0,-25.644275454161384
67,517.0,413.0,-20.116054158607348
68,305.0,301.0,-1.3114754098360655
69,133.0,163.0,22.55639097744361
70,182.0,179.0,-1.6483516483516485
71,15.0,17.0,13.333333333333334
72,354.0,319.0,-9.887005649717514
75,70.0,60.0,-14.285714285714285
76,65.0,55.5,-14.615384615384617
77,205.0,123.0,-40.0
78,59.0,51.0,-13.559322033898304
79,689.0,676.0,-1.8867924528301887
84,1402.0,1277.0,-8.91583452211127
85,100.0,108.5,8.5
86,65.0,53.5,-17.692307692307693
87,125.0,108.0,-13.600000000000001
107,168.0,119.0,-29.166666666666668
108,288.0,225.0,-21.875
109,174.0,130.0,-25.287356321839084
117,261.0,206.0,-21.0727969348659
118,31.0,25.5,-17.741935483870968
123,59.0,38.5,-34.74576271186441
124,7.0,6.0,-14.285714285714285
130,52.5,53.0,0.9523809523809524
131,188.0,135.0,-28.191489361702125
132,230.0,158.0,-31.30434782608696
133,807.5,693.0,-14.17956656346749
134,640.5,484.0,-24.434035909445743
135,493.0,487.0,-1.2170385395537524
136,150.5,123.0,-18.272425249169437
137,34.0,29.0,-14.705882352941178
138,10.0,8.0,-20.0
139,74.0,41.5,-43.91891891891892
140,177.0,121.0,-31.63841807909605
141,247.0,208.0,-15.789473684210526
142,527.0,351.0,-33.396584440227706
143,288.5,260.0,-9.878682842287695
161,256.0,213.5,-16.6015625
162,446.0,432.0,-3.1390134529147984
164,160.0,113.5,-29.062500000000004
165,58.0,54.0,-6.896551724137931
166,63.0,57.0,-9.523809523809524
167,56.0,51.5,-8.035714285714286
179,100.5,93.0,-7.462686567164178
180,56.5,48.0,-15.04424778761062
181,1708.0,1280.5,-25.02927400468384
