sensor_id,sensor_name
1,Bou292_T
4,Swa123_T
10,BouHbr_T
11,WatCit_T
24,Col620_T
31,Lyg161_T
36,Que85_T
39,AlfPl_T
45,Swa148_T
49,Eli501_T
58,Bou688_T
59,RMIT_T
61,RMIT14_T
62,Lat224_T
65,SwaCs_T
75,SprFli_T
77,HarEsP_T
79,FliSS_T
80,BoCoR_T
83,Eli510_T
84,ElFi_T
87,Errol23_T
91,DocLib1_T
94,FitConVis_T
95,FitGarExtVisExt_T
102,NtMelLib_T
103,KenTown_T
108,261Will_T
109,LatWill_T
124,BirBridge_T
135,Spen161_T
137,BouHbr2353_T
138,EntPark1671_T
141,474Fl_T
148,narrLibMRL2_T
149,narrLibL1MA_T
153,narrLibL2S2_T
158,Eli514_T
164,Lat526_T
180,Mac330_T
185,Eli197_T
3,Swa295_T
5,PriNW_T
9,Col700_T
12,NewQ_T
14,SanBri_T
18,Col12_T
19,LtB210_T
20,LtB170_T
27,Vic_T
28,VAC_T
41,Swa31
43,UM2_T
44,UM3_T
46,Pel147_T
47,Eli250_T
48,QVMQ_T
50,Lyg309_T
51,Fra118_T
52,Eli263_T
53,Col254_T
54,Swa607_T
55,Eli380_T
56,Lon364_T
68,FLDegN_T
69,FLDegC_T
72,ACMI_T
81,BoCoF_T
82,Eli512_T
85,488Mac_T
86,574Qub_T
89,CityLi_T
90,BoCoL_T
93,EastLib_T
96,FitGarVisIInt_T
105,KatLib2_T
107,280Will_T
116,FitCafVis_T
117,Fli114F_T
123,BirBridge_T
132,King335_T
133,Spen229_T
136,BirFed1120_T
139,Signal1647_T
140,Boyd2837_T
142,Hammer1584_T
144,narrLibL1L1_T
146,narrLibL1L3_T
150,narrLibL1MB_T
151,narrLibL2CA_T
154,narrLibL3C1_T
155,narrLibL#C2_T
160,Swa420_T
161,BirArt1109_T
165,Spen475_T
181,Eli368_T
184,Eli124_T
2,Bou283_T
6,FliS_T
8,WebBN_T
17,Col15_T
21,Bourke155_T
23,Col623_T
25,MCEC_T
29,AG_T
30,Lon189_T
35,SouthB_T
37,Lyg260_T
40,Spr201_T
42,UM1_T
63,Bou231_T
66,QVN_T
67,FLDegS_T
70,Errol20_T
71,WestWP_T
76,KenMac_T
78,HarEsB_T
92,DocLib2_T
99,TownVis_T
104,KatLib1_T
106,KatLib3_T
118,Fli114C_T
130,Bou892T
131,King2_T
134,Spen201_T
143,Spencer_T
145,narrLibL1L2_T
147,narrLibMRL1_T
152,narrLibL2S1_T
159,Eli516_T
162,Eli489_T
166,Spen484_T
167,Lat526_T
179,Pow61_T
182,King163_T
